pmra,pmde,jmag,ra,de,pmr_mas,pmd_mas,pmr_corr_mas,pmd_corr_mas
1.125000000000000029e-06,-1.661109999999999924e-06,1.659199999999999875e+01,1.583862499999999898e+02,4.529472222222219813e+01,4.049999999999999822e+00,-5.979995999999999867e+00,5.671710014343261719e+00,-4.321968078613281250e+00
-2.027779999999999911e-07,-2.588890000000000043e-06,1.659199999999999875e+01,1.794250000000000114e+02,2.639888888888890150e+01,-7.300008000000000052e-01,-9.320004000000000843e+00,7.691090106964111328e-01,-6.231570243835449219e+00
8.777780000000000135e-07,2.019439999999999930e-06,1.659199999999999875e+01,2.083404166666670108e+02,-2.974722222222219870e+01,3.160000800000000165e+00,7.269984000000000002e+00,2.822350502014160156e+00,8.595478057861328125e+00
-1.744440000000000022e-06,-5.388889999999999493e-07,1.659199999999999875e+01,2.102179166666670085e+02,2.653500000000000014e+01,-6.279983999999999789e+00,-1.940000500000000017e+00,-4.436089515686035156e+00,2.607701420783996582e-01
-8.999999999999999593e-07,-1.761110000000000025e-06,1.659199999999999875e+01,2.150158333333330063e+02,5.252777777777779988e+00,-3.240000000000000213e+00,-6.339996000000000187e+00,-2.053312301635742188e+00,-3.589965581893920898e+00
-5.305560000000000030e-07,-9.722219999999999558e-07,1.659199999999999875e+01,2.268899999999999864e+02,3.670833333333329840e+00,-1.910001599999999966e+00,-3.499998999999999860e+00,-1.190355181694030762e+00,-9.784792661666870117e-01
2.469439999999999857e-06,2.283330000000000211e-06,1.659199999999999875e+01,2.415845833333330006e+02,7.099999999999999645e+00,8.889984000000000108e+00,8.219988999999999990e+00,1.030986022949218750e+01,1.048838329315185547e+01
-2.138890000000000116e-06,-9.777780000000000089e-07,1.659199999999999875e+01,2.461470833333330006e+02,9.125277777777780486e+00,-7.700003999999999849e+00,-3.520000700000000204e+00,-6.188563346862792969e+00,-1.312890529632568359e+00
-1.847219999999999993e-06,-1.638889999999999927e-07,1.659199999999999875e+01,2.561087499999999864e+02,7.095972222222219727e+01,-6.649992000000000125e+00,-5.900003999999999804e-01,-5.805624961853027344e+00,-1.045729637145996094e+00
1.472219999999999931e-07,-7.083330000000000205e-07,1.659199999999999875e+01,3.322166666666669812e+02,-1.100833333333330000e+00,5.299992000000000036e-01,-2.549998800000000010e+00,-7.697290182113647461e-01,9.882916212081909180e-01
1.172220000000000103e-06,-2.733330000000000137e-06,1.659100000000000108e+01,1.629374999999999929e+01,-3.116250000000000142e+01,4.219992000000000409e+00,-9.839987999999999957e+00,8.880094885826110840e-01,-8.526516914367675781e+00
1.572220000000000085e-06,4.897220000000000014e-06,1.659100000000000108e+01,2.641208333333329961e+01,-4.104694444444439938e+01,5.659991699999999959e+00,1.762999299999999891e+01,3.855901956558227539e+00,1.790096092224121094e+01
-1.008329999999999924e-06,-1.424999999999999909e-06,1.659100000000000108e+01,1.323750000000000000e+02,3.522333333333330074e+01,-3.629987700000000039e+00,-5.129999999999999893e+00,-1.537439703941345215e+00,-2.485814571380615234e+00
-2.999999999999999864e-07,-2.825000000000000057e-06,1.659100000000000108e+01,1.537495833333329927e+02,2.398722222222220068e+01,-1.080000000000000071e+00,-1.016999999999999993e+01,3.284043967723846436e-01,-7.541140079498291016e+00
-8.527780000000000411e-07,2.047220000000000196e-06,1.659100000000000108e+01,1.718620833333330040e+02,6.017194444444439938e+01,-3.070000600000000190e+00,7.369992299999999830e+00,-1.197828769683837891e+00,7.472942352294921875e+00
-1.116670000000000059e-06,-1.094440000000000104e-06,1.659100000000000108e+01,1.805137499999999875e+02,2.855000000000000071e+01,-4.020012000000000363e+00,-3.939983999999999931e+00,-2.591009378433227539e+00,-9.941427111625671387e-01
2.574999999999999910e-06,5.722219999999999739e-07,1.659100000000000108e+01,1.884816666666669960e+02,1.306888888888889966e+01,9.269999999999999574e+00,2.059999200000000030e+00,1.176784992218017578e+01,5.637020111083984375e+00
-5.194440000000000025e-07,1.805559999999999923e-07,1.659100000000000108e+01,1.902899999999999920e+02,5.705638888888889682e+01,-1.869998300000000002e+00,6.500015999999999572e-01,-4.509175419807434082e-01,3.762435913085937500e-01
-1.111109999999999896e-06,-2.680559999999999963e-06,1.659100000000000108e+01,1.922162500000000023e+02,-4.773333333333329875e+00,-3.999995999999999885e+00,-9.650017000000000067e+00,-2.123924732208251953e+00,-7.328388214111328125e+00
-1.399999999999999937e-06,-1.174999999999999973e-06,1.659100000000000108e+01,2.062475000000000023e+02,-2.666666666666669960e-01,-5.040000000000000036e+00,-4.230000000000000426e+00,-3.548434257507324219e+00,-1.517531275749206543e+00
-1.238890000000000051e-06,-1.105560000000000008e-06,1.659100000000000108e+01,2.206220833333329949e+02,-5.552500000000000213e+00,-4.460004299999999589e+00,-3.980016200000000115e+00,-4.584092617034912109e+00,-1.440963506698608398e+00
1.794439999999999967e-06,-3.813890000000000173e-06,1.659100000000000108e+01,2.214341666666670108e+02,-2.476166666666669869e+01,6.459984000000000393e+00,-1.373000399999999921e+01,5.763028621673583984e+00,-1.208402061462402344e+01
-2.663890000000000172e-06,1.536110000000000062e-06,1.659100000000000108e+01,2.362512499999999989e+02,4.506277777777779647e+01,-9.590004000000000417e+00,5.529995999999999690e+00,-8.137482643127441406e+00,6.629510879516601562e+00
-1.485279999999999949e-05,5.611110000000000010e-07,1.659100000000000108e+01,2.374237500000000125e+02,4.408277777777779960e+01,-5.347007800000000088e+01,2.019999499999999948e+00,-5.199996948242187500e+01,3.288111686706542969e+00
2.027780000000000175e-06,-7.155560000000000317e-06,1.658999999999999986e+01,1.303083333333329996e+01,-3.302916666666669698e+01,7.300008300000000006e+00,-2.576001499999999922e+01,4.205386161804199219e+00,-2.450676345825195312e+01
2.224999999999999873e-06,-2.650000000000000039e-06,1.658999999999999986e+01,2.108249999999999957e+01,1.431611111111110013e+01,8.009999000000000535e+00,-9.539999999999999147e+00,7.245882511138916016e+00,-6.217986106872558594e+00
-6.833330000000000481e-07,-4.583329999999999789e-07,1.658999999999999986e+01,7.330666666666670039e+01,-4.179055555555559920e+01,-2.459998800000000152e+00,-1.649998800000000099e+00,-3.403050422668457031e+00,-1.611208796501159668e+00
4.055559999999999822e-07,5.555559999999999754e-07,1.658999999999999986e+01,1.162512499999999989e+02,2.945055555555549986e+01,1.460001600000000010e+00,2.000001699999999882e+00,2.532629251480102539e+00,4.691153049468994141e+00
